CONTACT_DATE	DOW	NO_SHOW_RATE
2017-03-15 00:00:00.000	Wednesday	0.157088122605364
2016-09-28 00:00:00.000	Wednesday	0.133561643835616
2016-11-02 00:00:00.000	Wednesday	0.177514792899408
2017-03-01 00:00:00.000	Wednesday	0.0679611650485437
2017-04-05 00:00:00.000	Wednesday	0.0877862595419847
2017-02-15 00:00:00.000	Wednesday	0.111111111111111
2016-10-05 00:00:00.000	Wednesday	0.056
2016-11-09 00:00:00.000	Wednesday	0.134020618556701
2016-12-14 00:00:00.000	Wednesday	0.119601328903654
2017-03-08 00:00:00.000	Wednesday	0.0896551724137931
2017-05-17 00:00:00.000	Wednesday	0.0625
2016-10-26 00:00:00.000	Wednesday	0.0984615384615385
2017-02-22 00:00:00.000	Wednesday	0.0874125874125874
2016-09-07 00:00:00.000	Wednesday	0.0786026200873362
2017-06-07 00:00:00.000	Wednesday	0.10077519379845
2016-08-24 00:00:00.000	Wednesday	0.0898203592814371
2017-01-25 00:00:00.000	Wednesday	0.109649122807018
2016-07-20 00:00:00.000	Wednesday	0.113475177304965
2016-09-01 00:00:00.000	Thursday	0.166666666666667
2017-04-27 00:00:00.000	Thursday	0.0843373493975904
2016-11-24 00:00:00.000	Thursday	1
2016-07-14 00:00:00.000	Thursday	0.160714285714286
2017-04-13 00:00:00.000	Thursday	0.0919540229885057
2016-10-27 00:00:00.000	Thursday	0.096
2017-06-22 00:00:00.000	Thursday	0.0906344410876133
2016-12-01 00:00:00.000	Thursday	0.1
2017-01-05 00:00:00.000	Thursday	0.119289340101523
2017-03-30 00:00:00.000	Thursday	0.0638297872340425
2016-10-13 00:00:00.000	Thursday	0.0866666666666667
2016-11-17 00:00:00.000	Thursday	0.107558139534884
2017-04-20 00:00:00.000	Thursday	0.0721003134796238
2016-07-07 00:00:00.000	Thursday	0.157692307692308
2016-11-03 00:00:00.000	Thursday	0.141065830721003
2017-04-06 00:00:00.000	Thursday	0.131054131054131
2016-09-15 00:00:00.000	Thursday	0.122857142857143
2017-02-16 00:00:00.000	Thursday	0.0735294117647059
2017-03-23 00:00:00.000	Thursday	0.0911392405063291
2016-10-06 00:00:00.000	Thursday	0.130057803468208
2016-11-10 00:00:00.000	Thursday	0.135036496350365
2016-12-15 00:00:00.000	Thursday	0.0915492957746479
2017-03-09 00:00:00.000	Thursday	0.0819672131147541
2017-01-19 00:00:00.000	Thursday	0.0845070422535211
2017-02-23 00:00:00.000	Thursday	0.111716621253406
2017-05-18 00:00:00.000	Thursday	0.111111111111111
